trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
399,False,"{'a': 0.45, 'e': 0.13669542544552385}",20,16,7.078883345050837,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.45, 'e': 0.13601365416684916}",25,18,16.367898253759535,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.45, 'e': 0.1353352832366127}",20,16,5.600828227289755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.45, 'e': 0.13466029569550586}",20,7,22.635228186111267,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.45, 'e': 0.13398867466880493}",20,10,6.660276225136408,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
404,False,"{'a': 0.45, 'e': 0.13332040336594936}",25,12,19.70689691454097,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.45, 'e': 0.13265546508012172}",35,26,16.688662709934647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.45, 'e': 0.13199384318783022}",30,19,22.742777445321376,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.45, 'e': 0.13133552114849303}",25,14,21.16366099102113,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.45, 'e': 0.13068048250402503}",30,19,19.112091094948372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.45, 'e': 0.1300287108784259}",30,19,-21.479683241422485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
410,False,"{'a': 0.45, 'e': 0.12938018997737108}",30,18,10.996860688168129,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
