trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
539,False,"{'a': 0.45, 'e': 0.06788093937176144}",20,10,0.9659004648136373,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.45, 'e': 0.06754238177422452}",20,10,18.2958587815932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.45, 'e': 0.06720551273974976}",25,17,14.281702767405072,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.45, 'e': 0.0668703238465938}",20,2,34.92028231894388,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.45, 'e': 0.06653680671501686}",20,10,14.94412876995477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.45, 'e': 0.06620495300707324}",20,7,25.647131512365725,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.45, 'e': 0.06587475442640295}",30,22,14.172759678987667,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.45, 'e': 0.06554620271802433}",20,16,6.370793446606268,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.45, 'e': 0.06521928966812753}",20,12,17.192804496916356,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.45, 'e': 0.06489400710386926}",30,14,33.00185372514264,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.45, 'e': 0.06457034689316847}",30,16,21.584558761879123,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.45, 'e': 0.06424830094450308}",25,11,25.25235351983548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.45, 'e': 0.06392786120670757}",20,6,27.75971698270373,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.45, 'e': 0.0636090196687718}",25,15,12.682914975348648,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.45, 'e': 0.0632917683596407}",25,11,18.66424451259406,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.45, 'e': 0.06297609934801507}",20,14,9.6318818397666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.45, 'e': 0.06266200474215315}",20,11,17.470434169956334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.45, 'e': 0.06234947668967343}",25,12,25.059524904510134,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.45, 'e': 0.06203850737735829}",30,18,21.656330848725563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.45, 'e': 0.06172908903095879}",25,4,37.69411114963631,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.45, 'e': 0.06142121391500013}",25,17,13.851687168075044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.45, 'e': 0.06111487433258836}",25,14,19.97300848717733,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.45, 'e': 0.06081006262521795}",20,10,7.987550886154755,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
562,False,"{'a': 0.45, 'e': 0.06050677117258039}",20,13,14.131577894770492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
563,False,"{'a': 0.45, 'e': 0.06020499239237354}",35,20,8.073776135051956,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
564,False,"{'a': 0.45, 'e': 0.05990471874011218}",30,16,24.87607624335279,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.45, 'e': 0.05960594270893937}",20,9,21.532540623201683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.45, 'e': 0.05930865682943872}",20,8,11.284827866412549,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
567,False,"{'a': 0.45, 'e': 0.05901285366944784}",25,15,20.53028907265055,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.45, 'e': 0.058718525833872284}",20,12,12.545897431032927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.45, 'e': 0.05842566596450083}",20,10,-25.047673487994118,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
570,False,"{'a': 0.45, 'e': 0.058134266739821465}",25,7,13.185826596631276,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
571,False,"{'a': 0.45, 'e': 0.057844320874838456}",25,15,19.178790686432595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.45, 'e': 0.05755582112089005}",20,12,17.572440722641073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.45, 'e': 0.05726876026546736}",30,12,36.73115191957887,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.45, 'e': 0.056983131132034036}",25,14,20.04866069575295,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.45, 'e': 0.0566989265798469}",20,8,26.311309679424834,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.45, 'e': 0.05641613950377735}",30,20,23.245009408633422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.45, 'e': 0.056134762834133725}",25,14,9.52290222966584,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
578,False,"{'a': 0.45, 'e': 0.05585478953648462}",20,15,6.678674897190667,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.45, 'e': 0.05557621261148306}",25,15,16.632424873020035,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.45, 'e': 0.05529902509469138}",30,12,23.479717975507107,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
581,False,"{'a': 0.45, 'e': 0.05502322005640723}",20,12,16.46820865559694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.45, 'e': 0.054748790601490266}",25,11,28.06633752453668,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.45, 'e': 0.05447572986918986}",30,15,29.653185696395486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
584,False,"{'a': 0.45, 'e': 0.054204031032973464}",20,13,0.7042351480687672,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
585,False,"{'a': 0.45, 'e': 0.05393368730035602}",20,7,19.881623406817685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.45, 'e': 0.05366469191273011}",20,7,24.477015985032185,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.45, 'e': 0.053397038145197084}",20,12,16.82305008967996,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.45, 'e': 0.05313071930639878}",20,8,21.322503351967327,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.45, 'e': 0.05286572873835037}",20,13,11.721796875964772,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.45, 'e': 0.05260205981627384}",30,21,16.792383301123607,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.45, 'e': 0.05233970594843238}",30,17,23.57385374567863,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.45, 'e': 0.05207866057596569}",25,15,18.769150422998912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.45, 'e': 0.05181891717272583}",30,14,23.511423405081555,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.45, 'e': 0.0515604692451142}",20,9,19.80228571407418,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.45, 'e': 0.05130331033191911}",25,12,23.523408354727543,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.45, 'e': 0.051047434004154395}",30,9,37.384317958399684,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.45, 'e': 0.0507928338648985}",20,10,22.42377418792616,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
598,False,"{'a': 0.45, 'e': 0.050539503549134696}",25,10,27.909992953478902,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.45, 'e': 0.050287436723591865}",20,9,-0.8151792811505525,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
600,False,"{'a': 0.45, 'e': 0.05003662708658628}",20,15,9.787619813797797,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.45, 'e': 0.049787068367863944}",20,14,8.751224212483697,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.45, 'e': 0.04953875432844388}",25,20,9.646967585941326,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.45, 'e': 0.04929167876046215}",25,10,27.052098797874077,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.45, 'e': 0.04904583548701673}",20,8,22.42134404223981,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.45, 'e': 0.04880121836201296}",25,12,25.274451080654735,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.45, 'e': 0.048557821270009974}",25,12,24.991532641206597,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.45, 'e': 0.04831563812606777}",30,18,24.11382821692576,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.45, 'e': 0.04807466287559518}",20,3,16.601395542917736,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
609,False,"{'a': 0.45, 'e': 0.04783488949419837}",35,9,35.4286179212115,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
610,False,"{'a': 0.45, 'e': 0.04759631198753032}",20,10,17.96982166009856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.45, 'e': 0.04735892439114091}",35,28,14.421038772295447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.45, 'e': 0.04712272077032791}",20,10,18.60778134130813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.45, 'e': 0.046887695219988486}",30,14,17.268135888450043,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
614,False,"{'a': 0.45, 'e': 0.04665384186447163}",20,12,13.02832227326159,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.45, 'e': 0.04642115485743125}",30,19,20.77065100217013,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.45, 'e': 0.0461896283816801}",20,9,20.82502904715329,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.45, 'e': 0.045959256649044204}",25,16,16.080021041555945,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.45, 'e': 0.04573003390021825}",20,16,5.829040079620139,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.45, 'e': 0.04550195440462157}",20,12,7.457032801870552,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.45, 'e': 0.045275012460254886}",20,16,7.32120805832853,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.45, 'e': 0.0450492023935578}",20,12,13.163367383589074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.45, 'e': 0.04482451855926687}",20,8,10.705529894405288,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
623,False,"{'a': 0.45, 'e': 0.044600955340274535}",30,18,24.19605590646716,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.45, 'e': 0.04437850714748865}",20,2,32.89647225089465,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.45, 'e': 0.04415716841969286}",20,11,14.64075164839541,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.45, 'e': 0.04393693362340742}",20,13,11.95081196637874,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.45, 'e': 0.04371779725275094}",20,9,26.237143704371995,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.45, 'e': 0.04349975382930273}",20,14,9.314023837456396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.45, 'e': 0.043282797901965896}",30,12,34.360495118567876,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.45, 'e': 0.04306692404683092}",20,16,7.337630007330725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.45, 'e': 0.04285212686704019}",20,16,7.500380283487238,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.45, 'e': 0.04263840099265299}",20,9,21.647068252250484,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.45, 'e': 0.042425741080511385}",20,14,-31.886342817919182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
634,False,"{'a': 0.45, 'e': 0.042214141814106466}",25,17,16.82919994953203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.45, 'e': 0.04200359790344555}",25,9,15.50774352402486,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
636,False,"{'a': 0.45, 'e': 0.041794104084919896}",20,15,3.7218791364652892,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.45, 'e': 0.04158565512117316}",25,3,34.73561977157326,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.45, 'e': 0.04137824580097038}",25,8,27.001139114459548,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.45, 'e': 0.04117187093906774}",25,14,19.04908696712149,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.45, 'e': 0.040966525376082925}",20,8,22.33625202492465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.45, 'e': 0.04076220397836621}",25,15,17.267176960566548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.45, 'e': 0.040558901637871986}",20,15,10.56097399581607,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.45, 'e': 0.04035661327203115}",30,13,27.504422239200604,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.45, 'e': 0.040155333823624025}",20,15,10.38877321642004,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.45, 'e': 0.039955058260653896}",20,0,29.763183301534326,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
646,False,"{'a': 0.45, 'e': 0.039755781576221304}",20,13,14.073898327128006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.45, 'e': 0.039557498788398725}",25,8,29.84663892666692,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.45, 'e': 0.03936020494010615}",30,13,29.608533898283486,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.45, 'e': 0.039163895098987066}",35,23,22.808701398212516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.45, 'e': 0.03896856435728526}",20,16,7.950437951380556,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.45, 'e': 0.03877420783172201}",20,9,22.104855779783698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.45, 'e': 0.03858082066337404}",20,10,21.04896450556783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.45, 'e': 0.038388398017552054}",20,14,13.249022604544518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.45, 'e': 0.038196935083679925}",30,22,14.167210744874588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.45, 'e': 0.038006427075174314}",20,14,13.841313167465637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.45, 'e': 0.03781686922932508}",25,14,21.037872490089608,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.45, 'e': 0.0376282568071762}",25,11,23.197653053506013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.45, 'e': 0.03744058509340732}",20,10,17.24164777379056,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.45, 'e': 0.03725384939621581}",25,11,22.550256733924407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.45, 'e': 0.0370680450471995}",25,9,16.71260844310849,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
661,False,"{'a': 0.45, 'e': 0.036883167401239994}",30,14,28.72226183355361,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.45, 'e': 0.03669921183638653}",20,10,19.061459736932758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.45, 'e': 0.0365161737537404}",20,12,14.934077296133802,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.45, 'e': 0.036334048577339996}",30,11,36.04404125696812,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.45, 'e': 0.03615283175404641}",30,22,13.313867442831164,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.45, 'e': 0.035972518753429654}",25,19,13.9238572444849,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.45, 'e': 0.0357931050676553}",30,13,29.746599231112274,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.45, 'e': 0.03561458621137186}",35,24,21.57200124306045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.45, 'e': 0.03543695772159864}",20,11,5.553031667900925,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
670,False,"{'a': 0.45, 'e': 0.03526021515761412}",25,14,9.678147267213555,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
671,False,"{'a': 0.45, 'e': 0.035084354100845025}",20,14,9.860009385096152,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.45, 'e': 0.03490937015475576}",25,15,16.99855045980967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.45, 'e': 0.03473525894473856}",35,18,37.99284908943568,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.45, 'e': 0.0345620161180041}",30,20,20.947105390556327,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.45, 'e': 0.03438963734347271}",20,16,7.980005766498815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.45, 'e': 0.03421811831166603}",20,10,19.695769425085285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.45, 'e': 0.034047454734599344}",30,22,17.81534021346129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.45, 'e': 0.033877642345674315}",20,10,16.526123701479474,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.45, 'e': 0.033708676899572396}",25,14,11.44742791494027,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.45, 'e': 0.033540554172148636}",25,20,9.966826493890817,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.45, 'e': 0.03337326996032608}",25,11,27.41090551894961,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.45, 'e': 0.03320682008199072}",20,8,23.507036857635974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.45, 'e': 0.03304120037588693}",25,14,22.46934514426255,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.45, 'e': 0.03287640670151345}",20,9,9.440161526870252,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
685,False,"{'a': 0.45, 'e': 0.03271243493901982}",25,16,18.6310327881126,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.45, 'e': 0.03254928098910342}",30,12,31.302622981987575,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.45, 'e': 0.03238694077290704}",25,14,22.860281724783842,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.45, 'e': 0.0322254102319168}",30,8,35.46080795710521,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.45, 'e': 0.03206468532786077}",20,9,21.652455579780046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.45, 'e': 0.03190476204260796}",25,8,22.803838813547642,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
691,False,"{'a': 0.45, 'e': 0.03174563637806794}",30,15,-24.957271475272567,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
692,False,"{'a': 0.45, 'e': 0.031587304356090785}",20,14,11.283819900729512,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.45, 'e': 0.03142976201836771}",20,11,4.812983179782127,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
694,False,"{'a': 0.45, 'e': 0.03127300542633206}",20,9,20.316008940506034,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.45, 'e': 0.03111703066106086}",25,15,18.487209416809442,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.45, 'e': 0.030961833823176882}",35,26,18.87197705239847,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.45, 'e': 0.030807411032751076}",20,11,15.565371954128182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.45, 'e': 0.030653758429205646}",20,11,18.536976070537207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.45, 'e': 0.030500872171217483}",25,20,8.506093338284913,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.45, 'e': 0.030348748436622202}",20,12,14.856149785139987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.45, 'e': 0.0301973834223185}",25,17,16.383006397543273,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.45, 'e': 0.03004677334417314}",20,10,21.215107647139646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.45, 'e': 0.029896914436926308}",20,13,13.695632479974252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.45, 'e': 0.029747802954097544}",25,11,21.893880298033235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.45, 'e': 0.029599435167892}",20,7,27.558872969320927,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.45, 'e': 0.02945180736910729}",20,9,22.137369410454628,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.45, 'e': 0.029304915867040746}",20,12,16.250301893661668,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.45, 'e': 0.02915875698939719}",20,6,13.710984683251912,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.45, 'e': 0.029013327082197053}",20,16,6.745062972475015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.45, 'e': 0.028868622509685086}",30,23,15.79776187565388,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.45, 'e': 0.028724639654239423}",25,11,27.498820137215425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.45, 'e': 0.028581374916281203}",20,9,18.930274227875575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.45, 'e': 0.028438824714184505}",20,9,22.84079061301501,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.45, 'e': 0.028296985484186854}",20,14,10.938878927803064,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.45, 'e': 0.028155853680300096}",20,13,14.97477570945958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.45, 'e': 0.028015425774221808}",20,14,11.093829949962386,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.45, 'e': 0.027875698255247015}",20,9,7.568049605727005,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
718,False,"{'a': 0.45, 'e': 0.027736667630180466}",20,15,9.049062748863408,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.45, 'e': 0.027598330423249287}",20,9,20.35749539192632,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.45, 'e': 0.027460683176016094}",25,20,8.461708311736228,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.45, 'e': 0.02732372244729256}",25,15,20.202639391184256,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.45, 'e': 0.027187444813053317}",20,11,18.6525190967788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.45, 'e': 0.027051846866350416}",30,18,15.90664005419285,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.45, 'e': 0.026916925217228112}",30,19,23.36455701717812,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
